name,author,version,category,format_version,n_tables,n_models,n_images,n_scripts,n_other,softcodes,has_modfiles,meta_error,tables,path
Chaosmon: UlforceVeedramon and Jesmon,HexerVoodoom Aka Mojoceramon,0.1.1,Digimon,1,23,40,36,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|ui_mon_param_info/Field,D:\Mateus\Modding Digimon\ARESTERDRAMON\New folder
Chaosmon: UlforceVeedramon and Jesmon,HexerVoodoom Aka Mojoceramon,0.1.1,Digimon,1,23,36,22,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\Chaosmon Ulforce Veedramon and Jesmon
Chaosmon: UlforceVeedramon and Jesmon,HexerVoodoom Aka Mojoceramon,0.1.1,Digimon,1,23,40,42,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\chaosmon_ulforce_veedramon_and_jesmon_c7b72xxx
DigimonWorld 2 Challenge,HexerVoodoom Aka Mojoceramon,0.1.1,Digimon,1,36,463,236,14,3,yes,yes,,battle_ai/Ai|battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|field_npc_para/t0511|field_text/Sheet1|item_explanation/Sheet1|item_name/Sheet1|item_para/table|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_effect/digimon|model_default_scale/digimon|mon_cpl/Coupling|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|same_animation_data/digimon|same_animation_data/pc|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\Mateus\Modding Digimon\neocrimson\finalizando\ALL VERSION\DigimonWorld 2 Challenge
DigimonWorld 2 Challenge,HexerVoodoom Aka Mojoceramon,0.1.1,Digimon,1,36,463,236,14,3,yes,yes,,battle_ai/Ai|battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|field_npc_para/t0511|field_text/Sheet1|item_explanation/Sheet1|item_name/Sheet1|item_para/table|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_effect/digimon|model_default_scale/digimon|mon_cpl/Coupling|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|same_animation_data/digimon|same_animation_data/pc|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\DigimonWorld 2 Challenge
DW2 Challenge Digidestined Patch,HexerVoodoom Aka Mojoceramon,0.1.1,Digimon,1,0,0,0,0,0,no,NO,,,D:\Mateus\Modding Digimon\neocrimson\finalizando\ALL VERSION\DW2 Challenge Digidestined Patch
Natticus,HexerVoodoom Aka Mojoceramon,0.1.1,Digimon,1,0,21,10,0,1,no,yes,,,D:\Mateus\Modding Digimon\gamamon\mod_natticus_primeirostestes
NeoCrimson Chaos Mode,HexerVoodoom Aka Mojoceramon,0.1.1,Digimon,1,38,133,111,0,8,yes,yes,,(loose)voice|battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|item_explanation/Sheet1|item_name/Sheet1|item_para/table|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_effect/digimon|model_default_effect/mob|model_default_effect/npc|model_default_effect/pc|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|same_animation_data/digimon|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\damaged
NeoCrimson Chaos Mode,HexerVoodoom Aka Mojoceramon,0.1.1,Digimon,1,38,133,111,0,8,yes,yes,,(loose)voice|battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|item_explanation/Sheet1|item_name/Sheet1|item_para/table|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_effect/digimon|model_default_effect/mob|model_default_effect/npc|model_default_effect/pc|model_default_scale/digimon|model_position_offset/offset|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|same_animation_data/digimon|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\damaged2
NeoCrimson: Complete Mod,HexerVoodoom Aka Mojoceramon,0.1.1,Digimon,1,36,419,181,9,1,yes,yes,,battle_ai/Ai|battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|field_npc_para/t0511|field_text/Sheet1|item_explanation/Sheet1|item_name/Sheet1|item_para/table|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_effect/digimon|model_default_scale/digimon|mon_cpl/Coupling|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|same_animation_data/digimon|same_animation_data/pc|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\ALL VERSION
NeoCrimson: Complete Mod,HexerVoodoom Aka Mojoceramon,0.1.1,Digimon,1,36,371,154,9,1,yes,yes,,battle_ai/Ai|battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|field_npc_para/t0511|field_text/Sheet1|item_explanation/Sheet1|item_name/Sheet1|item_para/table|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_effect/digimon|model_default_scale/digimon|mon_cpl/Coupling|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|same_animation_data/digimon|same_animation_data/pc|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\NeoCrimsonComplete
Kyoko boobs,Lewdmon,1.0,alt model,1,0,74,6,0,0,no,yes,,,E:\SteamLibrary\steamapps\common\Digimon Story Cyber Sleuth Complete Edition\SimpleDSCSModManager\mods\Kyoko
Kyoko boobs,Lewdmon,1.0,alt model,1,0,0,6,0,0,no,yes,,,E:\SteamLibrary\steamapps\common\Digimon Story Cyber Sleuth Complete Edition\mods\Kyoko
Kyoko boobs 2,Lewdmon,1.0,alt model,1,0,74,6,0,0,no,yes,,,E:\SteamLibrary\steamapps\common\Digimon Story Cyber Sleuth Complete Edition\SimpleDSCSModManager\mods\Kyoko - Copy
nokia boobs,Lewdmon,1.0,alt model,1,0,89,4,0,0,no,yes,,,E:\SteamLibrary\steamapps\common\Digimon Story Cyber Sleuth Complete Edition\SimpleDSCSModManager\mods\nokia - breasts
nokia boobs,Lewdmon,1.0,alt model,1,0,89,4,0,0,no,yes,,,E:\SteamLibrary\steamapps\common\Digimon Story Cyber Sleuth Complete Edition\SimpleDSCSModManager\mods\nokia - pc
nokia boobs,Lewdmon,1.0,alt model,1,0,4,0,0,0,no,yes,,,E:\SteamLibrary\steamapps\common\Digimon Story Cyber Sleuth Complete Edition\SimpleDSCSModManager\mods\rie - breasts
nokia boobs pc,Lewdmon,1.0,alt model,1,0,89,4,0,0,no,yes,,,E:\SteamLibrary\steamapps\common\Digimon Story Cyber Sleuth Complete Edition\SimpleDSCSModManager\mods\nokia backup
7D6 Playable,Loud,1.0,Evolution,2,19,26,5,0,10,yes,yes,,(loose)voice|battle_command/Command|battle_command_effect/effect|battle_voice/voice|battle_voice_add/voice|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|skill_content_name/Sheet1|skill_name/Sheet1|ui_mon_param_info/Field,D:\Mateus\destop\octonautas\lord gaia\ygg
7D6 Playable,Loud,1.0,Evolution,2,19,26,5,0,1,yes,yes,,(loose)voice|battle_command/Command|battle_command_effect/effect|battle_voice/voice|battle_voice_add/voice|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|skill_content_name/Sheet1|skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\ygg
GrandLocomon Second Attack,Loud Kuyuki,1.1,Digimon,1,1,0,0,0,0,no,yes,,digimon_farm_para/digimon,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\9-grandlocomonrestoration_49c68
get exp item script,Loud Kuyuki and Mojoceramon,1,cheat,1,0,0,0,1,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\exp_item
tapirmon partner,Loud Kuyuki and Mojoceramon,1,role play,1,9,21,0,2,2,yes,yes,,field_npc_para/t3001|field_npc_para_add/d1303|field_npc_para_add/t3001|join_digimon_para/party|join_digimon_para_add/party|mod_digidestinenpc/Sheet1|model_default_scale/npc|multi_select_para/para|multi_select_text/para,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\partner
Loud's custom Quests/Challegenges,LoudKuyuki,2.1,QUEST,2,0,0,0,0,0,no,yes,,,D:\Mateus\Modding Digimon\MOJOCERAMON\loud
Loud's custom Quests/Challegenges,LoudKuyuki,2.1,QUEST,2,52,166,48,37,14,yes,yes,,(loose)bgm|(loose)voice|battle_0048/Sheet1|battle_0049/Sheet1|battle_0050/Sheet1|battle_5700/Sheet1|battle_5701/Sheet1|battle_command/Command|battle_command_effect/effect|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|desafio02/Sheet1|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|field_area_para/Field_List|field_area_para/d51|field_npc_para/d1303|field_npc_para/t3001|field_npc_para_add/d1303|field_npc_para_add/t3001|fieldname/Sheet1|gacha/Sheet1|item_explanation/Sheet1|item_name/Sheet1|item_para/table|join_digimon_para/guest|join_digimon_para_add/guest|map_encount_param/Field|mod_newnpc/Sheet1|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_cpl/Coupling|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|multi_select_para/para|multi_select_text/para|quest01/Sheet1|skill_content_name/Sheet1|skill_name/Sheet1|talk_position/position|ui_mon_param_info/Field|yes_no_message/para|yes_no_window_para/para,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\custom_quests_and_challenges (1)
Dukemon,Marbs,1.0,New digimon,1,27,65,65,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\Mateus\Modding Digimon\arresterdramon\ARRESTERDRAMON MOD\backiup
Dukemon,Marbs,1.0,New digimon,1,27,44,30,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\Mateus\Modding Digimon\arresterdramon\Ultimate_Dukemon
Unlimited Mirror Dungeon,MF217,0.0.0,Maps,1,2,0,0,0,0,no,yes,,mirror_dungeon_para/para|mirror_dungeon_para_add/para,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\Unlimited_Mirror_Dungeon_0.0.0
a  MOD FOR MODDERS,MOJOCERAMON,1.0,misc,1,0,0,358,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\MODDER MOD
alphaImpmon,Mojoceramon,1,New Digimon,1,0,4,7,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\alphaimpmontestes
alphaImpmon,Mojoceramon,1,New Digimon,1,0,4,21,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\testes_alpha_Impmon
alphaImpmon,Mojoceramon,1,New Digimon,1,0,4,23,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\testes_alpha_Impmon2
Digimon Partner (CS),Mojoceramon,1,role play,1,6,1,0,1,1,yes,yes,,charname/Sheet1|field_npc_para/t3001|join_digimon_para/party|mod_digidestinenpc/Sheet1|multi_select_para/para|multi_select_text/para,D:\Mateus\Modding Digimon\MOJOCERAMON\testemodelo\Cyber Sleuth
Digimon Partner (CS),Mojoceramon,1,role play,1,6,1,0,1,1,yes,yes,,charname/Sheet1|field_npc_para/t3001|join_digimon_para/party|mod_digidestinenpc/Sheet1|multi_select_para/para|multi_select_text/para,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\Digipartner - Dorumon - CS
Digimon Partner (CS),Mojoceramon,1,role play,1,6,1,0,1,1,yes,yes,,charname/Sheet1|field_npc_para/t3001|join_digimon_para/party|mod_digidestinenpc/Sheet1|multi_select_para/para|multi_select_text/para,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\Digipartner - Lopmon - CS
Digimon Partner (HM),Mojoceramon,1,role play,1,6,1,0,2,1,yes,yes,,charname/Sheet1|field_npc_para_add/t3001|join_digimon_para_add/party|mod_digidestinenpc/Sheet1|multi_select_para/para|multi_select_text/para,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\Hackers Memory
Mojoceramon NPC,Mojoceramon,1,role play,1,32,41,27,1,2,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|field_npc_para/t3001|join_digimon_para/party|mod_digidestinenpc/Sheet1|mod_mojoceranpc/Sheet1|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|multi_select_para/para|multi_select_text/para|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\Mateus\Modding Digimon\MOJOCERAMON\funcionando
Mojoceramon NPC,Mojoceramon,1,role play,1,6,20,27,1,2,yes,yes,,charname/Sheet1|field_npc_para/t3001|join_digimon_para/party|mod_mojoceranpc/Sheet1|multi_select_para/para|multi_select_text/para,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\MOJOCERAMON NPC
Mojoceramon NPC,Mojoceramon,1,role play,1,32,41,27,1,2,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|field_npc_para/t3001|join_digimon_para/party|mod_digidestinenpc/Sheet1|mod_mojoceranpc/Sheet1|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|multi_select_para/para|multi_select_text/para|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\funcionando
ophanimon,Mojoceramon,1,new digimon,1,0,4,13,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\ophanimon
Tanemon,Mojoceramon,1,New Digimon,1,21,100,10,1,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|charname/Sheet1|degeneration_para/digimon|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\Tanemon
wardrobe,Mojoceramon,1,new digimon,1,4,1,0,1,1,yes,yes,,charname/Sheet1|field_npc_para/t3001|multi_select_para/para|multi_select_text/para,D:\Mateus\Modding Digimon\wardrobe
wardrobe,Mojoceramon,1,new digimon,1,4,1,0,7,1,yes,yes,,charname/Sheet1|field_npc_para/t3001|multi_select_para/para|multi_select_text/para,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\wardrobe
glitchtamamon,Mojoceramon & dantles1992,0.1,Digimon,1,20,4,11,0,0,yes,yes,,charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_next_para/digimon|join_digimon_para/party|join_digimon_para_add/party|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_effect/digimon|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|same_animation_data/digimon|skill_use_group_set/digimon|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\Glitchtamamon
Omegamon Delta,Mojoceramon & Echo,1,New Digimon,1,24,40,19,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\omegamon_delta
Omegamon Sigma,Mojoceramon & Echo,1,New Digimon,1,24,63,12,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\OmegamonSigma
ChronoCore Duo: ChaosGallantmon C & Ophanimon C,Mojoceramon & EchoDex,1,Digimon,1,28,12,40,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|same_animation_data/digimon|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\chronocorefinal
Omegamon VZ,Mojoceramon & Echodex,1.0,New Digimon,1,28,52,45,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\zmod_testing
Omnimon VZ,Mojoceramon & Echodex,1.0,Digimon,1,28,40,46,0,0,yes,yes,,battle_command/Command|battle_command_effect/effect|battle_effect/effect|battle_se/se|battle_support_skill/support_skill|battle_voice/voice|battle_voice_add/voice|charname/Sheet1|degeneration_para/digimon|digimon_book_explanation/Sheet1|digimon_common_para/digimon|digimon_farm_para/digimon|digimon_list/digimon|evolution_condition_para/digimon|evolution_next_para/digimon|model_attach_para/digimon01|model_attach_para/digimon02|model_attach_para/digimon03|model_default_scale/digimon|mon_design_para/Monster|mon_para/Monster|mon_para_hard/Monster|skill_content_name/Sheet1|skill_name/Sheet1|skill_use_group_set/digimon|support_skill_content_name/Sheet1|support_skill_name/Sheet1|ui_mon_param_info/Field,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\omnimon_vz
Lottemon (pink wanyamon),Mojoceramon (Aka HexerVoodoom),0.1,Digimon Recolors,1,1,0,2,0,0,no,yes,,charname/Sheet1,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\lottemon
purple myotismon,Mojoceramon (Aka HexerVoodoom),0.1,Digimon Recolors,1,0,0,1,0,0,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\myotismon roxo
Akira,Mojoceramon aka HexerVoodoom,1,Skin,1,1,12,35,0,1,no,yes,,item_para/table,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\akiramod
Akira green grid,Mojoceramon aka HexerVoodoom,1,Skin,1,0,4,35,0,1,no,yes,,,D:\SteamLibrary\steamapps\common\SimpleDSCSModManager-develop\SimpleDSCSModManager\mods\akira_grid
Akira pc triceramon origianl,Mojoceramon aka HexerVoodoom,1,New Digimon,1,5,0,6,0,0,no,yes,,item_para/table|same_animation_data/digimon|same_animation_data/mob|same_animation_data/npc|same_animation_data/pc,D:\Mateus\Modding Digimon\PC
